time,model_id,model_name,port_name,data
0,338,(37,7),,0.173032
0,339,(1,15),,0.477570
0,340,(36,38),,0.277326
0,341,(27,43),,0.202036
0,342,(25,17),,0.346815
0,343,(25,23),,0.600201
0,344,(38,6),,0.150380
0,345,(0,15),,0.462062
0,346,(46,45),,0.064806
0,347,(49,14),,0.228461
0,348,(37,20),,0.306781
0,349,(37,33),,0.105329
0,350,(47,14),,0.103757
0,351,(30,29),,0.366233
0,352,(22,43),,0.344651
0,353,(44,14),,0.204725
0,354,(21,13),,0.268305
0,355,(49,23),,0.052697
0,356,(4,30),,0.410673
0,357,(34,15),,0.217782
0,358,(27,18),,0.348904
0,359,(47,1),,0.640146
0,360,(36,6),,0.355697
0,361,(14,35),,0.255120
0,362,(20,41),,0.512919
0,363,(41,14),,0.331489
0,364,(28,14),,0.199128
0,365,(46,19),,0.131147
0,366,(14,12),,0.035244
0,367,(0,0),,0.476938
0,368,(0,6),,0.473410
0,369,(11,19),,0.164397
0,370,(46,40),,0.032557
0,371,(16,47),,0.476627
0,372,(26,14),,0.219434
0,373,(24,17),,0.348918
0,374,(24,4),,0.311399
0,375,(6,47),,0.572738
0,376,(25,14),,0.223620
0,377,(24,14),,0.453551
0,378,(14,10),,0.382952
0,379,(21,14),,0.261183
0,380,(20,14),,0.259087
0,381,(45,14),,0.173336
0,382,(18,14),,0.258934
0,383,(17,14),,0.267596
0,384,(15,19),,0.342182
0,385,(21,19),,0.391942
0,386,(16,14),,0.253363
0,387,(42,46),,0.116934
0,388,(46,26),,0.085716
0,389,(18,13),,0.279218
0,390,(34,21),,0.181594
0,391,(29,17),,0.234261
0,392,(19,14),,0.256556
0,393,(47,4),,0.060874
0,394,(42,26),,0.205960
0,395,(42,40),,0.055363
0,396,(3,14),,0.515526
0,397,(26,16),,0.286497
0,398,(31,39),,0.118464
0,399,(1,42),,0.372375
0,400,(1,14),,0.478299
0,401,(38,18),,0.368051
0,402,(0,14),,0.462524
0,403,(45,40),,0.038795
0,404,(44,45),,0.083574
0,405,(23,20),,0.511087
0,406,(11,5),,0.086276
0,407,(49,13),,0.061955
0,408,(46,10),,0.096054
0,409,(10,6),,0.506247
0,410,(21,3),,0.293346
0,411,(27,35),,0.189378
0,412,(5,16),,0.537409
0,413,(9,18),,0.516692
0,414,(24,16),,0.204634
0,415,(40,13),,0.319911
0,416,(39,13),,0.542459
0,417,(40,7),,0.270592
0,418,(28,16),,0.243180
0,419,(36,13),,0.256712
0,420,(22,7),,0.332696
0,421,(16,29),,0.221033
0,422,(33,13),,0.187064
0,423,(48,40),,0.025681
0,424,(26,4),,0.308576
0,425,(14,26),,0.351200
0,426,(8,14),,0.546797
0,427,(43,22),,0.253275
0,428,(30,13),,0.162754
0,429,(38,19),,0.356263
0,430,(14,34),,0.220562
0,431,(29,13),,0.176285
0,432,(10,35),,0.378123
0,433,(28,17),,0.274465
0,434,(11,17),,0.464086
0,435,(4,34),,0.584009
0,436,(24,13),,0.223593
0,437,(23,13),,0.241244
0,438,(8,28),,0.290419
0,439,(20,13),,0.272871
